Station Name,Street Address,City,State,Zip Code,Connector1,Connector2,Connector3,Connector4,Geocode Status,Latitude,Longitude,ID
Quik Park - Tesla,9 W 57th St,New York,NY,10019,,2,,,200-9,40.763888,-73.97499,67752
iPark - Tesla,250 W 19th St,New York,NY,10011,,2,,,200-8,40.742364,-73.999149,67758
The Aerie Bed and Breakfast - Tesla,509 Pollock St,New Bern,NC,28562,,1,,,200-9,35.106688,-77.042499,72163
Glenmere Mansion - Tesla,634 Pine Hill Rd,Chester,NY,10918,,2,,,200-9,41.338768,-74.322712,74433
Shops at Main - Tesla,4455 Transit Rd,Buffalo,NY,14221,,,8,,200-9,42.968195,-78.696606,70297
iPark - Tesla,61 Jane St,New York,NY,10014,,2,,,200-8,40.738134,-74.005587,74539
Icon Parking - Tesla,330 E 39th St,New York,NY,10016,,2,,,200-9,40.747123,-73.972257,76355
iPark - Tesla,330 E 46th St,New York,NY,11017,,2,,,200-9,40.751578,-73.969043,74534
iPark - Tesla,400 E 35th St,New York,NY,10016,,2,,,200-8,40.744277,-73.97261,74536
iPark - Tesla,549 W 23rd St,New York,NY,10011,,2,,,200-9,40.748931,-74.006078,74538
GMC Parking - Tesla,111 E 82nd St,New York,NY,10065,,2,,,200-8,40.777361,-73.95855,80332
iPark - Tesla,11 E 83rd St,New York,NY,10028,,2,,,200-8,40.779283,-73.961162,74532
iPark - Tesla,75 Wall St,New York,NY,10005,,2,,,200-9,40.705042,-74.008118,74540
iPark - Tesla,200 E 94th St,New York,NY,10128,,2,,,200-8,40.783888,-73.950284,78578
More Than Parking - Tesla,601 W 57th St,New York,NY,10019,,2,,,200-9,40.770771,-73.991789,79763
iPark - Tesla,425 E 58th St,New York,NY,10022,,2,,,200-8,40.758582,-73.961484,78096
iPark - Tesla,27 W 105th St,New York,NY,10025,,2,,,200-8,40.797691,-73.961308,78097
Gurney's Montauk Resort and Spa - Tesla,290 Old Montauk Hwy,Montauk,NY,11954,,2,,,200-9,41.015489,-71.992316,80333
RapidPark - Tesla,600 Columbus Ave,New York,NY,10128,,2,,,200-9,40.788716,-73.970934,78092
Parkright - Tesla,738 Greenwich St,New York,NY,10014,,2,,,200-9,40.735165,-74.007231,78090
Quikpark - Tesla,251 W 62nd St,New York,NY,10282,,2,,,200-8,40.773648,-73.989452,78091
iPark - Tesla,246 E 45th St,New York,NY,10017,,2,,,200-8,40.75186,-73.971066,76354
Icon Parking - Tesla,207 W 52nd St,New York,NY,10019,,2,,,200-8,40.762707,-73.983229,78087
Icon Parking - Tesla,63 E 9th St,New York,NY,10003,,2,,,200-9,40.731544,-73.992045,78088
Quik Park - Tesla,235 W 56th St,New York,NY,10019,,2,,,200-9,40.766,-73.982621,67748
Andaz Wall Street - Tesla,75 Wall St,New York,NY,10005,,1,,,200-9,40.705042,-74.008118,74413
Parkright - Tesla,300 E 77th St,New York,NY,10075,,2,,,200-9,40.771657,-73.955668,74455
Parkright - Tesla,29 E 29th St,New York,NY,10016,,2,,,200-8,40.744367,-73.984614,74456
Icon Parking - Tesla,238 Pearl St,New York,NY,10063,,2,,,200-8,40.707547,-74.005057,78086
ParkIt - Tesla,575 Washington St,New York,NY,10014,,2,,,200-9,40.729474,-74.008847,74453
ParkIt - Tesla,221 Thompson St,New York,NY,10012,,2,,,200-9,40.729372,-73.999217,74450
Icon Parking - Tesla,80 Riverside Blvd,New York,NY,10069,,2,,,200-8,40.775213,-73.990506,78085
Residence Inn - Tesla,1717 Broadway,New York,NY,10019,,1,,,200-9,40.764225,-73.982625,74463
The Carlyle Hotel - Tesla,35 E 76th St,New York,NY,10021,,1,,,200-9,40.774308,-73.963182,74465
The Peninsula Hotel - Tesla,700 5th Ave,New York,NY,10019,,1,,,200-8,40.761663,-73.974895,74468
Waldorf Astoria - Tesla,301 Park Ave,New York,NY,10022,,2,,,200-9,40.756774,-73.973996,67756
ParkIt - Tesla,27 N Moore St,New York,NY,10013,,2,,,200-9,40.720401,-74.007604,74451
Parkright - Tesla,670 W 43rd St,New York,NY,10036,,2,,,200-8,40.762496,-74.00017,74457
iPark - Tesla,49 W 116th St,New York,NY,10026,,2,,,200-8,40.801546,-73.948555,78114
Icon Parking - Tesla,100 Riverside Blvd,New York,NY,10024,,2,,,200-8,40.775563,-73.990128,74435
Icon Parking - Tesla,11 5th Ave,New York,NY,10003,,2,,,200-8,40.732372,-73.996244,74437
Quik Park - Tesla,250 W 97th St,New York,NY,10025,,2,,,200-8,40.795368,-73.97138,74410
iPark - Tesla,345 E 80th St,New York,NY,10075,,2,,,200-9,40.773495,-73.952328,74412
GGMC Parking - Tesla,280 Broadway,New York,NY,10007,,2,,,200-9,40.714321,-74.00579,74427
Icon Parking - Tesla,330 W 58th St,New York,NY,10019,,2,,,200-8,40.76791,-73.983569,74443
Icon Parking - Tesla,101 W End Ave,New York,NY,10023,,2,,,200-9,40.775188,-73.988501,74436
Icon Parking - Tesla,12 E 9th St,New York,NY,10003,,2,,,200-8,40.732507,-73.99509,74438
ParkIt - Tesla,301 E 64th St,New York,NY,10065,,2,,,200-8,40.763706,-73.96197,74452
The Barn Inn Bed and Breakfast - Tesla,6838 County Road 203,Millersburg,OH,44654,,2,,,200-9,40.57279,-81.869776,73785
Icon Parking - Tesla,16 W 16th St,New York,NY,10011,,2,,,200-8,40.737779,-73.993759,74440
Hilton Garden Inn - Tesla,1290 Arsenal St,Watertown,NY,13601,,1,,,200-8,43.976167,-75.946417,78084
The Ritz-Carlton - Tesla,1515 W Third St,Cleveland,OH,44113,,2,,,200-9,41.497727,-81.694904,73797
Black Butte Ranch - Tesla,12930 Hawksbeard Rd,Sisters,OR,97759,,2,,,200-8,44.378179,-121.653185,73738
Envision Cinemas Bar & Grille - Tesla,4780 Cornell Rd,Cincinnati,OH,45241,,2,,,200-9,39.270778,-84.373511,73752
Riverside Gables Bed & Breakfast - Tesla,50 N Rocky River Dr,Berea,OH,44017,,1,,,200-9,41.370418,-81.854663,73775
