State,Zip Code,Returns Filed,AGI
DE,19951,910,53601
DE,19950,3150,148404
DE,19947,8320,355375
DE,19946,2130,99767
DE,19945,3640,168146
DE,19944,270,25115
DE,19943,5710,282146
DE,19941,1210,45605
DE,19940,2570,119255
DE,19939,3250,213418
DE,19938,4110,234377
DE,19934,6280,412326
DE,19933,4300,202181
DE,19931,130,8778
DE,19930,1340,159387
DE,19904,16070,820031
DE,19901,15390,726874
DE,19810,12800,1083938
DE,19809,7430,542340
DE,19808,20130,1405638
DE,19807,4080,1280429
DE,19806,5060,581792
DE,19805,18650,796973
DE,19804,9200,415981
DE,19803,11020,1277358
DE,19802,11560,471547
DE,19801,6440,334337
DE,19736,130,20745
DE,19734,5550,382471
DE,19720,29050,1341493
DE,19713,15680,800291
DE,19711,22250,1785082
DE,19709,19430,1509788
DE,19707,8300,1058171
DE,19703,7440,369538
DE,19702,26420,1564054
DE,19701,20910,1434208
PA,19611,4770,182005
PA,19610,8110,945614
PA,19609,5470,293022
PA,19608,11610,938700
PA,19607,11830,829599
PA,19606,17260,1056462
PA,19605,10720,558856
PA,19604,11760,335826
PA,19602,7050,170294
PA,19601,14070,383100
PA,19567,2710,139396
PA,19565,4430,270819
PA,19562,1280,67453
PA,19560,4560,219268
PA,19555,1900,97733
PA,19551,2560,163725
PA,19547,2260,186989
PA,19543,2870,221670
PA,19541,2220,149479
PA,19540,6020,458220
PA,19539,2340,150407
PA,19534,1010,62788
PA,19533,3230,217992
PA,19530,5250,331460
PA,19529,1480,100363
PA,19526,5750,295792
PA,19525,7320,601104
PA,19522,7310,494746
PA,19520,2960,351003
PA,19518,7490,597054
PA,19512,8660,545116
PA,19510,3890,246922
PA,19508,7620,466020
PA,19507,1640,89372
PA,19506,3720,241112
PA,19505,1720,99030
PA,19504,2570,178965
PA,19503,630,34297
PA,19492,310,17648
PA,19477,160,33481
PA,19475,5300,417258
PA,19473,7150,688609
PA,19468,13700,1064442
PA,19465,8660,734505
PA,19464,23180,1253406
PA,19462,8070,802047
PA,19460,20130,2110069
PA,19454,14610,1435362
PA,19453,750,40169
PA,19446,28900,2433753
PA,19444,5590,829004
PA,19440,9760,646723
PA,19438,11760,1106311
PA,19436,330,53482
PA,19435,280,17052
PA,19428,10710,910709
PA,19426,17610,1979149
PA,19425,6690,1272315
PA,19422,9980,1457030
PA,19406,12300,1089178
PA,19405,2720,128452
PA,19403,23320,1951986
PA,19401,19000,831835
PA,19390,6650,538216
PA,19382,24550,3023873
PA,19380,25980,2724558
PA,19374,620,25364
PA,19373,1340,184444
PA,19372,1320,84707
PA,19365,3530,200503
PA,19363,7800,493558
PA,19362,2650,155333
PA,19355,12660,2430210
PA,19352,4120,385987
PA,19350,5210,714631
PA,19348,10950,1289362
PA,19344,5880,354070
PA,19343,4010,507242
PA,19342,9470,1110424
PA,19341,9180,949128
PA,19335,24380,2477820
PA,19333,3730,740691
PA,19330,2670,192457
PA,19320,25020,1766095
PA,19319,170,17393
PA,19317,5170,937049
PA,19312,5700,1395306
PA,19311,4140,430876
PA,19310,1350,81983
PA,19301,3610,512572
PA,19154,16180,900312
PA,19153,5840,245062
PA,19152,15200,678003
PA,19151,14600,581556
PA,19150,12070,512822
PA,19149,23800,841400
PA,19148,23520,1064030
PA,19147,19370,1727889
PA,19146,19250,1419377
PA,19145,21750,957462
PA,19144,17740,673944
PA,19143,28310,950555
PA,19142,12780,350562
PA,19141,13030,410249
PA,19140,19470,476494
PA,19139,17160,482045
PA,19138,14660,488632
PA,19137,3780,172008
PA,19136,15380,681760
PA,19135,14080,501793
PA,19134,21130,612593
PA,19133,8270,185097
PA,19132,13740,350448
PA,19131,17180,649012
PA,19130,13880,1221468
PA,19129,5120,360132
PA,19128,18480,1211125
PA,19127,3030,176114
PA,19126,7240,290004
PA,19125,11370,595946
PA,19124,26850,786834
PA,19123,7480,561515
PA,19122,6900,243827
PA,19121,11910,303658
PA,19120,28740,876020
PA,19119,12840,1037133
PA,19118,4650,875822
PA,19116,14820,792949
PA,19115,15740,870259
PA,19114,15490,826443
PA,19111,29060,1263688
PA,19107,6530,498166
PA,19106,6890,1215057
PA,19104,13510,498873
PA,19103,13730,2565028
PA,19102,2790,393393
PA,19096,6630,1319909
PA,19095,3280,282621
PA,19094,2100,107859
PA,19090,10100,593424
PA,19087,15660,3483611
PA,19086,5730,652857
PA,19085,2820,1446655
PA,19083,18360,1549791
PA,19082,19010,663991
PA,19081,4460,517687
PA,19079,4470,163170
PA,19078,6000,368134
PA,19076,3310,171617
PA,19075,3750,326131
PA,19074,2940,161641
PA,19073,9930,1922913
PA,19072,4900,951046
PA,19070,3760,233946
PA,19067,26730,2912939
PA,19066,2460,695432
PA,19064,12560,1047933
PA,19063,18620,2191298
PA,19061,9870,513270
PA,19060,5530,697698
