Stn ID,Average AGI,Connectors,Nearest Zip Distance,Stn Lat,Stn Lng,Stn State,Zip Code,formatted_agi
76986.0,67857.37,2.0,,41.468274900000004,-87.05789870000001,IN,46383,"$67,857.37"
76987.0,67857.37,2.0,,41.4691605,-87.0619229,IN,46383,"$67,857.37"
76988.0,62013.77,4.0,,28.168013000000002,-82.741671,FL,34689,"$62,013.77"
76993.0,69757.49,2.0,,48.3911091,-122.4968374,WA,98257,"$69,757.49"
76994.0,85094.43,2.0,,40.0121072,-105.1254433,CO,80026,"$85,094.43"
76996.0,62646.6,16.0,,37.344879999999996,-121.875515,CA,95112,"$62,646.60"
76998.0,31776.1,4.0,,33.771546,-84.55754,GA,30168,"$31,776.10"
77001.0,37298.27,1.0,,42.719967100000005,-84.5523343,MI,48910,"$37,298.27"
77002.0,37298.27,1.0,,42.7198671,-84.5523343,MI,48910,"$37,298.27"
77003.0,37298.27,1.0,,42.7200671,-84.5523343,MI,48910,"$37,298.27"
77004.0,37298.27,1.0,,42.719767100000006,-84.5523343,MI,48910,"$37,298.27"
77005.0,52736.77,1.0,,42.74305,-84.6295459,MI,48917,"$52,736.77"
77010.0,95977.53,1.0,,37.4057,-121.91924070000002,CA,95035,"$95,977.53"
77035.0,64169.7,2.0,,37.5005,-122.21345,CA,94063,"$64,169.70"
77036.0,66864.2,1.0,,39.906012,-105.092727,CO,80021,"$66,864.20"
77037.0,175950.52,9.0,,36.15644,-86.77903,TN,37203,"$175,950.52"
77038.0,266800.0,7.0,,42.3528902,-71.0430387,MA,02210,"$266,800.00"
77044.0,66577.82,8.0,,43.328485,-73.676214,NY,12804,"$66,577.82"
77045.0,62934.85,8.0,,36.165267,-95.766376,OK,74015,"$62,934.85"
77046.0,75582.31,8.0,,44.033617,-121.307529,OR,97702,"$75,582.31"
77047.0,48617.28,8.0,,46.000074,-123.916577,OR,97138,"$48,617.28"
77048.0,60355.36,8.0,,42.048477,-80.08789399999999,PA,16509,"$60,355.36"
77049.0,61022.11,8.0,,32.4708475,-95.4506694,TX,75771,"$61,022.11"
