,AGI State,Stn State,Zip Code,Average AGI,Stn ID,Stn Lat,Stn Lng,Connectors,Nearest Zip Distance,State,formatted_agi
7283,TX,TX,78382,63557.8,80372.0,28.058534,-97.041374,2.0,,,"$63,557.80"
7284,TX,TX,78363,46069.39,39735.0,27.492085999999997,-97.84753,1.0,,,"$46,069.39"
7285,TX,TX,78363,46069.39,80217.0,27.493543,-97.84443399999999,8.0,,,"$46,069.39"
7286,TX,TX,78336,48589.63,89572.0,27.900089,-97.14332399999999,2.0,,,"$48,589.63"
7287,TX,TX,78259,87002.44,74285.0,29.619554700000002,-98.45928570000001,2.0,,,"$87,002.44"
7288,TX,TX,78258,118879.65,49601.0,29.6134256,-98.5107788,2.0,,,"$118,879.65"
7289,TX,TX,78258,118879.65,85873.0,29.615223999999998,-98.4758245,2.0,,,"$118,879.65"
7290,TX,TX,78257,235650.32,94581.0,29.616355,-98.599417,1.0,,,"$235,650.32"
7291,TX,TX,78257,235650.32,56487.0,29.608945000000002,-98.602226,4.0,,,"$235,650.32"
7292,TX,TX,78256,110620.71,77493.0,29.604692,-98.62044499999999,2.0,,,"$110,620.71"
7293,TX,TX,78251,49468.43,89604.0,29.4606418,-98.6809713,2.0,,,"$49,468.43"
7294,TX,TX,78251,49468.43,57512.0,29.451551399999996,-98.64228059999999,2.0,,,"$49,468.43"
7295,TX,TX,78251,49468.43,61713.0,29.469014,-98.705597,4.0,,,"$49,468.43"
7296,TX,TX,78250,47966.67,74089.0,29.552079,-98.671214,3.0,,,"$47,966.67"
7297,TX,TX,78249,60980.99,56514.0,29.585537699999996,-98.61698840000001,2.0,,,"$60,980.99"
7298,TX,TX,78249,60980.99,74054.0,29.582294800000003,-98.61914959999999,4.0,,,"$60,980.99"
7299,TX,TX,78238,38337.67,39752.0,29.457046999999996,-98.62532399999999,1.0,,,"$38,337.67"
7300,TX,TX,78237,25024.35,45162.0,29.40835,-98.576042,2.0,,,"$25,024.35"
7301,TX,TX,78235,40132.5,41941.0,29.343808000000003,-98.436931,6.0,,,"$40,132.50"
7302,TX,TX,78233,43685.65,39753.0,29.556508,-98.34469,1.0,,,"$43,685.65"
7303,TX,TX,78233,43685.65,79908.0,29.545050300000003,-98.4017063,1.0,,,"$43,685.65"
7304,TX,TX,78232,90862.28,77099.0,29.6063157,-98.4621484,2.0,,,"$90,862.28"
7305,TX,TX,78230,93233.4,39750.0,29.543146999999998,-98.57544,1.0,,,"$93,233.40"
7306,TX,TX,78230,93233.4,82439.0,29.655272999999998,-98.626315,2.0,,,"$93,233.40"
7307,TX,TX,78230,93233.4,75414.0,29.505734000000004,-98.552312,4.0,,,"$93,233.40"
7308,TX,TX,78230,93233.4,93779.0,29.5618003,-98.5898377,2.0,,,"$93,233.40"
7309,TX,TX,78229,41817.76,42648.0,29.509294,-98.577111,8.0,,,"$41,817.76"
7310,TX,TX,78228,32007.25,89605.0,29.430796,-98.48985400000001,1.0,,,"$32,007.25"
7311,TX,TX,78227,30716.68,93778.0,29.418817200000003,-98.6519251,2.0,,,"$30,716.68"
7312,TX,TX,78226,27639.07,43779.0,29.3857,-98.57040500000001,8.0,,,"$27,639.07"
7313,TX,TX,78226,27639.07,45160.0,29.375615000000003,-98.545707,4.0,,,"$27,639.07"
