,Zip Code,Number of Stations,Average AGI,Number of Connectors,AGI Range,Percentage of Total Zips
325,95128,9,90769.73,70.0,75k-100k,15.33
326,01238,9,54927.09999999999,21.0,50k-75k,37.0
327,98034,9,94829.19,18.0,75k-100k,15.33
328,91764,9,38291.98,27.0,<50k,28.25
329,32771,9,59858.08000000001,18.0,50k-75k,37.0
330,85034,9,34222.10999999999,21.0,<50k,28.25
331,94403,9,147483.76,41.0,125k-150k,3.78
332,98105,9,151926.13,20.0,150k-175k,1.78
333,66062,9,78065.21,52.0,75k-100k,15.33
334,95695,9,61069.240000000005,18.0,50k-75k,37.0
335,30043,9,59146.15000000001,26.0,50k-75k,37.0
336,97223,9,72648.84999999999,19.0,50k-75k,37.0
337,93101,9,69974.06,20.0,50k-75k,37.0
338,27514,9,121160.70999999999,16.0,100k-125k,7.38
339,99201,9,51774.200000000004,18.0,50k-75k,37.0
340,97330,9,67214.07,14.0,50k-75k,37.0
341,98007,9,89244.32,26.0,75k-100k,15.33
342,98801,8,60189.59999999999,11.0,50k-75k,37.0
343,96720,8,53279.87,13.0,50k-75k,37.0
344,93036,8,51909.89000000001,26.0,50k-75k,37.0
345,86336,8,82512.11,17.0,75k-100k,15.33
346,78703,8,300682.55,22.0,175k+,5.88
347,94597,8,105327.27,37.0,100k-125k,7.38
348,94608,8,71901.82,27.0,50k-75k,37.0
349,55119,8,50638.16999999999,34.0,50k-75k,37.0
350,93001,8,67386.09999999999,25.0,50k-75k,37.0
351,97302,8,70607.64,12.0,50k-75k,37.0
352,96793,8,58563.16000000002,20.0,50k-75k,37.0
353,02886,8,66311.45,20.0,50k-75k,37.0
354,85225,8,50938.950000000004,19.0,50k-75k,37.0
355,96797,8,51846.32,14.0,50k-75k,37.0
356,92651,8,321439.49,23.0,175k+,5.88
357,29928,8,135616.73,21.0,125k-150k,3.78
358,75254,8,89510.28000000001,14.0,75k-100k,15.33
359,94566,8,181319.85000000003,19.0,175k+,5.88
360,13440,8,50627.39000000001,15.0,50k-75k,37.0
361,28273,8,47343.40000000001,17.0,<50k,28.25
362,30033,8,85639.53000000001,17.0,75k-100k,15.33
363,94928,8,55488.28999999999,39.0,50k-75k,37.0
364,37214,8,47860.83000000001,21.0,<50k,28.25
365,60605,8,132274.07000000004,15.0,125k-150k,3.78
366,60018,8,54439.049999999996,18.0,50k-75k,37.0
367,77024,8,495692.41000000003,26.0,175k+,5.88
368,94949,8,114393.61,15.0,100k-125k,7.38
369,90703,8,81800.49,17.0,75k-100k,15.33
370,10013,8,452724.78000000014,15.0,175k+,5.88
371,64110,8,44683.91999999999,24.0,<50k,28.25
372,61701,8,51442.62,13.0,50k-75k,37.0
373,22314,8,150453.47,17.0,150k-175k,1.78
374,93923,8,175888.44999999998,18.0,175k+,5.88
375,97070,8,87182.69,13.0,75k-100k,15.33
376,90048,8,126714.64,17.0,125k-150k,3.78
377,60201,8,140272.29,19.0,125k-150k,3.78
378,10001,8,165547.59,16.0,150k-175k,1.78
379,98370,8,75845.79,29.0,75k-100k,15.33
380,07753,8,58873.60999999999,24.0,50k-75k,37.0
381,98402,8,69203.46999999999,19.0,50k-75k,37.0
382,91730,8,54945.85999999999,13.0,50k-75k,37.0
383,53704,8,60185.07,16.0,50k-75k,37.0
384,91711,8,103183.19,20.0,100k-125k,7.38
385,76051,8,89600.99,19.0,75k-100k,15.33
386,95618,8,110052.87,17.0,100k-125k,7.38
387,95119,8,94429.46999999999,45.0,75k-100k,15.33
388,97702,8,75582.31,22.0,75k-100k,15.33
389,95501,8,41847.18,22.0,<50k,28.25
390,01089,8,57086.96999999999,21.0,50k-75k,37.0
391,11790,8,121550.07000000004,28.0,100k-125k,7.38
392,33180,8,120649.21999999999,22.0,100k-125k,7.38
393,95688,8,80587.46,21.0,75k-100k,15.33
394,55403,8,99206.71999999999,26.0,75k-100k,15.33
395,90232,8,90953.20999999999,30.0,75k-100k,15.33
396,94545,8,62837.81,40.0,50k-75k,37.0
397,06106,8,31272.640000000007,18.0,<50k,28.25
398,92504,8,51004.76,16.0,50k-75k,37.0
399,48326,8,66490.21,22.0,50k-75k,37.0
400,85226,8,77740.33,22.0,75k-100k,15.33
401,78741,8,35624.59,18.0,<50k,28.25
402,92592,8,83426.42,57.0,75k-100k,15.33
403,94086,8,121913.40000000001,14.0,100k-125k,7.38
404,83702,8,106343.92000000001,14.0,100k-125k,7.38
405,95403,8,74898.51,22.0,50k-75k,37.0
406,06820,8,566065.82,20.0,175k+,5.88
407,94577,8,66455.27,33.0,50k-75k,37.0
408,22209,8,111743.48,20.0,100k-125k,7.38
409,95060,8,104774.48,23.0,100k-125k,7.38
410,93449,8,94305.45999999999,17.0,75k-100k,15.33
411,37129,8,62747.74,25.0,50k-75k,37.0
412,93401,8,85800.07,25.0,75k-100k,15.33
413,95030,8,474896.96,14.0,175k+,5.88
414,80305,8,102893.94,18.0,100k-125k,7.38
415,98502,8,70372.51,13.0,50k-75k,37.0
416,95928,8,65895.79,19.0,50k-75k,37.0
417,28806,8,41009.1,33.0,<50k,28.25
418,49503,8,92599.30000000002,17.0,75k-100k,15.33
419,05753,8,68565.21,17.0,50k-75k,37.0
420,94087,8,169707.41,14.0,150k-175k,1.78
421,98020,7,125548.19999999998,16.0,125k-150k,3.78
422,29730,7,42375.409999999996,13.0,<50k,28.25
