,Zip Code,Number of Stations,Average AGI,Number of Connectors,AGI Range,Percentage of Total Zips
727,30068,5,137226.16,11.0,125k-150k,3.78
728,33609,5,134663.95,11.0,125k-150k,3.78
729,06854,5,68200.76,10.0,50k-75k,37.0
730,32216,5,47337.46,9.0,<50k,28.25
731,37204,5,148435.22,14.0,125k-150k,3.78
732,96743,5,77496.31,10.0,75k-100k,15.33
733,75150,5,39984.05,9.0,<50k,28.25
734,08816,5,107242.72,12.0,100k-125k,7.38
735,24401,5,50832.9,7.0,50k-75k,37.0
736,27513,5,105096.88,9.0,100k-125k,7.38
737,89701,5,51852.46,12.0,50k-75k,37.0
738,94804,5,49279.52,29.0,<50k,28.25
739,98001,5,66546.45,15.0,50k-75k,37.0
