,Old Zip,Zip Code,Nearest Zip Distance,Average AGI,Stn ID,Stn State,Stn Lat,Stn Lng,Connectors
449,01115,,,,71022.0,MA,42.10238696,-72.59218331,4.0
450,91365,,,,72655.0,CA,34.1709939,-118.5897384,12.0
451,91188,,,,73164.0,CA,34.1504,-118.142228,5.0
452,98191,,,,77586.0,WA,47.61323529999999,-122.3344034,3.0
453,77844,,,,78935.0,TX,30.612257,-96.3429849,3.0
454,22107,,,,79897.0,VA,38.9323022,-77.21896509999999,4.0
455,68103,,,,81412.0,NE,41.25,-95.93,8.0
456,21247,,,,81416.0,MD,39.307469,-76.619217,2.0
457,32528,,,,82304.0,FL,28.495139899999998,-81.1755172,1.0
458,19718,,,,87700.0,DE,39.6878859,-75.668995,6.0
459,06150,,,,94592.0,CT,41.7678126,-72.69095390000001,7.0
460,20268,,,,94629.0,DC,38.9001318,-77.02563070000001,1.0
461,94143,,,,55801.0,CA,37.763456,-122.458675,3.0
462,89557,,,,58288.0,NV,39.547056,-119.820627,4.0
463,60290,,,,58302.0,IL,41.8935938,-87.632785,2.0
464,66251,,,,61441.0,KS,38.914131,-94.657239,4.0
465,66251,,,,63830.0,KS,38.917807700000004,-94.65607929999999,2.0
466,66251,,,,63831.0,KS,38.918822999999996,-94.6557191,2.0
467,66251,,,,63832.0,KS,38.9135476,-94.6614323,2.0
468,66251,,,,63833.0,KS,38.9159348,-94.66151070000001,2.0
469,66251,,,,63835.0,KS,38.9144047,-94.6614697,2.0
470,66251,,,,63836.0,KS,38.9183124,-94.6603667,2.0
471,66251,,,,63837.0,KS,38.917510899999996,-94.66105,2.0
472,66251,,,,63838.0,KS,38.919937299999994,-94.65970329999999,2.0
473,66251,,,,63839.0,KS,38.9150415,-94.6614043,2.0
474,66251,,,,65694.0,KS,38.916455799999994,-94.65518309999999,2.0
475,66251,,,,87587.0,KS,38.921191,-94.65323599999999,6.0
476,27599,,,,61811.0,NC,35.9329982,-79.05793879999999,2.0
477,35487,,,,62885.0,AL,33.212555800000004,-87.5523843,2.0
478,68501,,,,63889.0,NE,40.815094099999996,-96.7122772,2.0
479,68501,,,,63890.0,NE,40.814862700000006,-96.7122504,2.0
480,95343,,,,67322.0,CA,37.366189,-120.42531470000002,2.0
481,85239,,,,69171.0,AZ,33.0246544,-112.0493521,4.0
482,64999,,,,70546.0,MO,39.0760929,-94.58729759999999,4.0
483,34464,,,,71587.0,FL,29.1303192,-82.2054441,2.0
484,06338,,,,71956.0,CT,41.4733521,-71.9600027,2.0
485,06338,,,,72040.0,CT,41.473335799999994,-71.9600034,2.0
486,21235,,,,72467.0,MD,39.311669,-76.730852,6.0
